67	Tovarlarni xarid qilishda turli tashkilotlar va korxonalar tomonidan kelgusi davr xarajatlariga kiritiladigan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	3190	6990	Hisobvaraq-faktura, tovar-transport yukxati 
68	Boshqa shaxslardan pul ekvivalentlari kelib tushishi aks ettirilgan 	5610	6990	Yukxat 
69	Boshqa shaxslardan pul o‘tkazmalari kelib tushishi aks ettirilgan 	5710	6990	Yukxat 
70	Boshqa shaxslardan qisqa muddatli qimmatli qog‘ozlar xarid qilingan 	5810	6990	Yukxat 
71	Mehnat haqidan xonadonda istiqomat qilganligi va kommunal xizmatlari uchun to‘lovlar; ijro varaqalari bo‘yicha ushlab qolingan to‘lovlar summalari aks ettirilgan 	6710	6990	Hisoblangan mehnat haqidan ushlab qolishlarni hisobga olish qaydnomasi, ijro varaqalari 
72	Asosiy vositalar chiqib ketishida turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	9210	6990	Hisobvaraq-faktura, tovar-transport yukxati 
73	Boshqa aktivlar chiqib ketishida turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	9220	6990	Hisobvaraq-faktura, tovar-transport yukxati
74	Tayyor mahsulotlarni va tovarlarni sotishda turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	9410	6990	Hisobvaraq-faktura, tovar-transport yukxati 
75	Ma’muriy maqsadlar uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	9420	6990	Hisobvaraq-faktura, tovar-transport yukxati 
76	Maslahat, axborot va auditorlik xizmatlari ko‘rsatilganligi uchun schyotlar olingan 	9430	6990	Hisobvaraq-faktura, bajarilgan ishlar dalolatnomasi 
77	Sud chiqimlari aks ettirilgan 	9430	6990	Da’vo hujjatlari 
78	Boshqa korxonalarga to‘lanadigan jarimalar summalari aks ettirilgan 	9430	6990	Korxona rahbari tomonidan tasdiqlangan hisobdan chiqarish dalolatnomasi 
79	Madaniy-ma’rifiy muassasalar va sog‘lomlashtirish oromgohlarini ushlab turish bo‘yicha turli korxonalar tomonidan ko‘rsatilgan xizmatlar aks ettirilgan 	9430	6990	Hisobvaraq-faktura, yukxat 
80	Xarid qilingan aksiyalarni saqlash uchun depozitariylar oldidagi qarz hisoblangan 	9690	6990	Shartnoma 
81	Ilgari hisoblangan rezervlar hisobidan amalga oshirilgan xarajatlar uchun turli korxonalarga qarz aks ettirilgan 	8910	6990	Hisobvaraq-faktura 
82	Maqsadli mablag‘lar hisobidan xarajatlarni amalga oshirishda turli tashkilotlar, korxonalar va shaxslarning xizmatlari bo‘yicha qarz aks ettirilgan 	8810-8890	6990	Hisobvaraq-faktura 
83	Moddiy qiymatliklar, ko‘rsatilgan xizmatlar, bajarilgan ishlar uchun turli kreditorlarga to‘lovlar amalga oshirilgan 	6990	5110	Bank hisob-kitob schyotlaridan ko‘chirma 
84	Savdolarda ishtirok etish uchun birja mijozlaridan garov summalari olingan 	5010 5110 5210	0990	Shartnomalar, bank hisob-kitob schyotlaridan ko‘chirma 
85	Savdolarda ishtirok etish uchun garov summalari mijozlarga qaytarilgan 	6990	5110	Shartnomalar, bank hisob-kitob schyotlaridan ko‘chirma 
